date,value
1991-07-01,4.316591
1991-08-01,4.032096785123967
1991-09-01,4.163044140495868
1991-10-01,4.578007958677686
1991-11-01,4.589365694214877
1991-12-01,5.383024719008265
1992-01-01,6.218354834710743
1992-02-01,3.9963175206611568
1992-03-01,4.214607694214876
1992-04-01,4.482279999999999
1992-05-01,4.450697834710744
1992-06-01,4.639220520661157
1992-07-01,5.149143381983471
1992-08-01,5.012520718099173
1992-09-01,5.27180999446281
1992-10-01,5.45713174231405
1992-11-01,5.956910258842975
1992-12-01,7.415936773305785
1993-01-01,7.83206769
1993-02-01,5.123880956942148
1993-03-01,5.473793636859504
1993-04-01,5.465790503305785
1993-05-01,5.66440718446281
1993-06-01,5.835570611074379
1993-07-01,6.125944858842975
1993-08-01,6.396313475619834
1993-09-01,6.464952112644628
1993-10-01,6.544075256942149
1993-11-01,6.9891009541322315
1993-12-01,9.092130795041323
1994-01-01,8.659551592396694
1994-02-01,5.78367758
1994-03-01,6.348045817933884
1994-04-01,6.040609325041322
1994-05-01,6.515334982644628
1994-06-01,6.628477889917355
1994-07-01,6.741866034132232
1994-08-01,7.344911281570248
1994-09-01,7.202220129256198
1994-10-01,7.3012513
1994-11-01,7.77367521785124
1994-12-01,8.20333645520661
1995-01-01,8.74543423322314
1995-02-01,6.2076367714876035
1995-03-01,6.935596567438016
1995-04-01,6.801887875206612
1995-05-01,7.1649194792561985
1995-06-01,7.130422647190082
1995-07-01,7.20467462785124
1995-08-01,7.789554975950414
1995-09-01,7.40976289429752
1995-10-01,8.018062651487604
1995-11-01,7.97287284
1995-12-01,9.281708663801652
1996-01-01,10.173067822479338
1996-02-01,6.890328081404959
1996-03-01,7.060056670000001
1996-04-01,7.368468428760331
1996-05-01,7.8548117024793385
1996-06-01,7.404393071404959
1996-07-01,8.172230321735537
1996-08-01,7.953541230826446
1996-09-01,8.086450120165289
1996-10-01,8.413190547024794
1996-11-01,8.196516276528925
1996-12-01,10.11693721
1997-01-01,9.99422224966942
1997-02-01,6.705832419586777
1997-03-01,7.103063780578513
1997-04-01,7.558429080000001
1997-05-01,7.71090357016529
1997-06-01,7.918704069752066
1997-07-01,8.253869036528926
1997-08-01,7.856845056280992
1997-09-01,8.350214056280992
1997-10-01,8.866447229586777
1997-11-01,8.388989489752067
1997-12-01,11.031584629669421
1998-01-01,9.67491303
1998-02-01,6.734121090578513
1998-03-01,7.2943070295867765
1998-04-01,7.3719868496694225
1998-05-01,7.697427026280992
1998-06-01,7.949919196528925
1998-07-01,8.313984299752065
1998-08-01,7.86256659016529
1998-09-01,8.634389120826448
1998-10-01,8.549101710578512
1998-11-01,8.810287981404958
1998-12-01,10.699434887768595
1999-01-01,10.454257748760332
1999-02-01,6.40513456
1999-03-01,7.973280527024794
1999-04-01,7.1261349677685955
1999-05-01,7.6841878408264455
1999-06-01,7.827203971735537
1999-07-01,8.295152691404958
1999-08-01,8.560179482479338
1999-09-01,8.576224113801654
1999-10-01,8.56228674
1999-11-01,9.150305851487603
1999-12-01,10.658408164297521
2000-01-01,11.540540035950414
2000-02-01,6.38833158785124
2000-03-01,7.429260261487602
2000-04-01,7.211050783223142
2000-05-01,8.024580285950414
2000-06-01,8.09403250785124
2000-07-01,9.265630337190082
2000-08-01,8.967816119256199
2000-09-01,8.123368471570249
2000-10-01,9.818388407438018
2000-11-01,9.336513549917356
2000-12-01,9.965610352396695
2001-01-01,12.268949685041324
2001-02-01,5.703945017933885
2001-03-01,7.86079116
2001-04-01,7.181536722396694
2001-05-01,8.161188441570246
2001-06-01,7.149678664132232
2001-07-01,8.511164249917357
2001-08-01,8.600828972644628
2001-09-01,7.461088715619835
2001-10-01,9.341204687933882
2001-11-01,10.232849781074382
2001-12-01,9.396135090000001
2002-01-01,12.596856873305786
2002-02-01,5.2146721368595035
2002-03-01,6.0399727569421495
2002-04-01,6.687850070000002
2002-05-01,7.8703340756198354
2002-06-01,6.576180408842975
2002-07-01,8.32814934107438
2002-08-01,7.535408114462809
2002-09-01,8.047392498099175
2002-10-01,8.591591136859504
2002-11-01,8.187837520661157
2002-12-01,9.889032716033057
2003-01-01,11.42994968
2003-02-01,4.247711304214876
2003-03-01,5.1239350323140505
2003-04-01,4.804037436033057
2003-05-01,6.508567318099173
2003-06-01,5.997202251983472
2003-07-01,6.677443720661158
2003-08-01,6.033295514710744
2003-09-01,6.619711329008265
2003-10-01,7.923518384214875
2003-11-01,6.691186698677685
2003-12-01,9.361588750495867
2004-01-01,10.69017373512397
2004-02-01,4.451629870000001
2004-03-01,5.348405058677688
2004-04-01,5.0572698633884325
2004-05-01,5.946352595123967
2004-06-01,5.8133722
2004-07-01,6.988253618347107
2004-08-01,6.837788733388429
2004-09-01,7.425309958677685
2004-10-01,7.789753173553716
2004-11-01,8.553881719008269
2004-12-01,9.60414814049587
2005-01-01,11.323575066115703
2005-02-01,2.5078445619834717
2005-03-01,3.5812977851239687
2005-04-01,4.443562140495869
2005-05-01,4.589606958677686
2005-06-01,5.3020446942148745
2005-07-01,5.233503719008262
2005-08-01,6.757820834710742
2005-09-01,7.101561520661162
2005-10-01,6.2999605619834735
2005-11-01,7.945009628099175
2005-12-01,8.428605876033059
2006-01-01,11.67533532231405
2006-02-01,0.5153663388429752
2006-03-01,3.254118
2006-04-01,1.8073538760330567
2006-05-01,5.148955520661156
2006-06-01,3.4410887768595018
2006-07-01,3.9188266280991755
2006-08-01,5.331197264462814
2006-09-01,3.1212264710743813
2006-10-01,7.712620338842976
2006-11-01,9.633645925619836
2006-12-01,9.173806000000003
2007-01-01,13.650606966942142
2007-02-01,2.147128504132233
2007-03-01,4.967841603305786
2007-04-01,1.3704049999999945
2007-05-01,5.717825471074388
2007-06-01,5.162972247933883
2007-07-01,6.087818925619835
2007-08-01,7.944893612644634
2007-09-01,6.705219749917351
2007-10-01,6.804599424132228
2007-11-01,8.54833683157025
2007-12-01,8.867768512396697
2008-01-01,12.480955999999992
2008-02-01,4.22221805785124
2008-03-01,0.5997516115702552
2008-04-01,5.191742289256197
2008-05-01,4.752409999999998
2008-06-01,1.0177730578512474
